AnalyserNode.prototype.getByteFrequencyData^68,method
AnalyserNode.prototype.getByteTimeDomainData,68,method
AnalyserNode.prototype.getFloatFrequencyData,68,method
AnalyserNode.prototype.getFloatTimeDomainData,68,method
AudioBuffer.prototype.copyFromChannel,68,method
AudioBuffer.prototype.copyToChannel,68,method
AudioBuffer.prototype.getChannelData,68,method
AudioBufferSourceNode.prototype.start,68,method
AudioBufferSourceNode.prototype.stop,68,method
AudioContext.prototype.close,68,promise
AudioContext.prototype.createAnalyser,68,method
AudioContext.prototype.createBiquadFilter,68,method
AudioContext.prototype.createBuffer,68,method
AudioContext.prototype.createBufferSource,68,method
AudioContext.prototype.createChannelMerger,68,method
AudioContext.prototype.createChannelSplitter,68,method
AudioContext.prototype.createConvolver,68,method
AudioContext.prototype.createDelay,68,method
AudioContext.prototype.createDynamicsCompressor,68,method
AudioContext.prototype.createGain,68,method
AudioContext.prototype.createMediaElementSource,68,method
AudioContext.prototype.createMediaStreamDestination,68,method
AudioContext.prototype.createMediaStreamSource,68,method
AudioContext.prototype.createOscillator,68,method
AudioContext.prototype.createPanner,68,method
AudioContext.prototype.createPeriodicWave,68,method
AudioContext.prototype.createScriptProcessor,68,method
AudioContext.prototype.createStereoPanner,68,method
AudioContext.prototype.createWaveShaper,68,method
AudioContext.prototype.decodeAudioData,68,promise
AudioContext.prototype.resume,68,promise
AudioContext.prototype.suspend,68,promise
AudioListener.prototype.setOrientation,68,method
AudioListener.prototype.setPosition,68,method
AudioListener.prototype.setVelocity,68,method
AudioNode.prototype.connect,68,method
AudioNode.prototype.disconnect,68,method
AudioParam.prototype.cancelScheduledValues,68,method
AudioParam.prototype.exponentialRampToValueAtTime,68,method
AudioParam.prototype.linearRampToValueAtTime,68,method
AudioParam.prototype.setValueAtTime,68,method
AudioParam.prototype.setValueCurveAtTime,68,method
BiquadFilterNode.prototype.getFrequencyResponse,68,method
Blob.prototype.slice,24,method
BroadcastChannel.prototype.close,30,method
BroadcastChannel.prototype.postMessage,30,method
Cache.prototype.add,58,promise
Cache.prototype.addAll,58,promise
Cache.prototype.delete,58,promise
Cache.prototype.keys,58,promise
Cache.prototype.match,58,promise
Cache.prototype.matchAll,58,promise
Cache.prototype.put,58,promise
CacheStorage.prototype.delete,58,promise
CacheStorage.prototype.has,58,promise
CacheStorage.prototype.keys,58,promise
CacheStorage.prototype.match,58,promise
CacheStorage.prototype.open,58,promise
CanvasCaptureMediaStream.prototype.requestFrame,44,method
CanvasGradient.prototype.addColorStop,31,method
CanvasPattern.prototype.setTransform,31,method
CanvasRenderingContext2D.prototype.arc,31,method
CanvasRenderingContext2D.prototype.arcTo,31,method
CanvasRenderingContext2D.prototype.beginPath,31,method
CanvasRenderingContext2D.prototype.bezierCurveTo,31,method
CanvasRenderingContext2D.prototype.clearRect,31,method
CanvasRenderingContext2D.prototype.clip,31,method
CanvasRenderingContext2D.prototype.closePath,31,method
CanvasRenderingContext2D.prototype.createImageData,31,method
CanvasRenderingContext2D.prototype.createLinearGradient,31,method
CanvasRenderingContext2D.prototype.createPattern,31,method
CanvasRenderingContext2D.prototype.createRadialGradient,31,method
CanvasRenderingContext2D.prototype.drawFocusIfNeeded,31,method
CanvasRenderingContext2D.prototype.drawImage,31,method
CanvasRenderingContext2D.prototype.fill,31,method
CanvasRenderingContext2D.prototype.fillRect,31,method
CanvasRenderingContext2D.prototype.fillText,31,method
CanvasRenderingContext2D.prototype.getImageData,31,method
CanvasRenderingContext2D.prototype.getLineDash,31,method
CanvasRenderingContext2D.prototype.isPointInPath,31,method
CanvasRenderingContext2D.prototype.isPointInStroke,31,method
CanvasRenderingContext2D.prototype.lineTo,31,method
CanvasRenderingContext2D.prototype.measureText,31,method
CanvasRenderingContext2D.prototype.moveTo,31,method
CanvasRenderingContext2D.prototype.putImageData,31,method
CanvasRenderingContext2D.prototype.quadraticCurveTo,31,method
CanvasRenderingContext2D.prototype.rect,31,method
CanvasRenderingContext2D.prototype.resetTransform,31,method
CanvasRenderingContext2D.prototype.restore,31,method
CanvasRenderingContext2D.prototype.rotate,31,method
CanvasRenderingContext2D.prototype.save,31,method
CanvasRenderingContext2D.prototype.scale,31,method
CanvasRenderingContext2D.prototype.setLineDash,31,method
CanvasRenderingContext2D.prototype.setTransform,31,method
